date,daily_return,close_price,news_date,avg_sentiment,article_count,avg_subjectivity,forward_filled
2020-01-16,0.8685680028668319,72.09166717529297,2020-01-16,0.1,5,0.11000000000000001,False
2020-01-17,1.9762944986130515,73.51641082763672,2020-01-17,-0.04280303030303031,6,0.16079545454545455,False
2020-01-21,0.27088163555970546,73.7155532836914,2020-01-19,0.0,1,0.0,True
2020-01-21,0.27088163555970546,73.7155532836914,2020-01-21,0.0,2,0.0,False
2020-01-22,0.10441888854793024,73.79252624511719,2020-01-22,0.006666666666666667,3,0.19166666666666665,False
2020-01-24,-1.3412543630630602,72.8370590209961,2020-01-24,0.0,1,0.0,False
2020-01-27,-2.2369881570968753,71.20770263671875,2020-01-26,0.07222222222222223,3,0.2222222222222222,True
2020-01-27,-2.2369881570968753,71.20770263671875,2020-01-27,0.1328888888888889,5,0.32911111111111113,False
2020-01-28,1.301335342475607,72.13435363769531,2020-01-28,-0.06590909090909092,4,0.21363636363636362,False
2020-01-29,0.4179043985516717,72.43580627441406,2020-01-29,-0.14027777777777778,2,0.3319444444444445,False
2020-01-30,-0.19129360271303852,72.2972412109375,2020-01-30,0.0,2,0.0,False
2020-01-31,-1.4843590388664452,71.22409057617188,2020-01-31,0.25,2,0.25,False
2020-02-03,3.605426349614005,73.79202270507812,2020-02-03,0.009074074074074073,15,0.1401851851851852,False
