stock,date,avg_sentiment,sentiment_std,article_count,avg_subjectivity,news_date,forward_filled
GOOG,2019-06-03,0.0,0.0,1,0.0,2019-06-02,True
GOOG,2019-06-03,-0.028240740740740743,0.051857112527749515,12,0.2164351851851852,2019-06-03,False
GOOG,2019-06-04,-0.1875,0.0,1,0.5,2019-06-04,False
GOOG,2019-06-05,0.20833333333333331,0.29462782549439476,2,0.3,2019-06-05,False
GOOG,2019-06-06,-0.1,0.2,4,0.1,2019-06-06,False
GOOG,2019-06-07,0.15163636363636362,0.20963112033181108,5,0.24345454545454545,2019-06-07,False
GOOG,2019-06-10,-0.03537037037037037,0.18913763577746687,6,0.21453703703703705,2019-06-10,False
GOOG,2019-06-11,0.013888888888888888,0.034020690871988585,6,0.041666666666666664,2019-06-11,False
GOOG,2019-06-12,0.0,0.0,1,0.0,2019-06-12,False
GOOG,2019-06-13,-0.021296296296296296,0.052931873807246115,4,0.07407407407407407,2019-06-13,False
GOOG,2019-06-14,0.0,0.0,1,0.0,2019-06-14,False
GOOG,2019-06-17,0.044444444444444446,0.0769800358919501,3,0.1111111111111111,2019-06-17,False
GOOG,2019-06-18,0.12407407407407407,0.20824566056471122,6,0.3314814814814815,2019-06-18,False
GOOG,2019-06-19,0.225,0.31819805153394637,2,0.42500000000000004,2019-06-19,False
GOOG,2019-06-20,0.07592592592592592,0.13150756131541474,3,0.1703703703703704,2019-06-20,False
GOOG,2019-06-21,-0.020833333333333332,0.036084391824351615,3,0.4458333333333333,2019-06-21,False
GOOG,2019-06-24,-0.06212121212121213,0.10080455728543883,4,0.30577651515151516,2019-06-24,False
GOOG,2019-06-25,0.11666666666666665,0.20207259421636903,3,0.18333333333333335,2019-06-25,False
GOOG,2019-06-26,0.08333333333333333,0.17191729277636836,6,0.26944444444444443,2019-06-26,False
GOOG,2019-06-27,-0.09545454545454546,0.14784959970264178,2,0.36250000000000004,2019-06-27,False
GOOG,2019-07-01,-0.0125,0.01767766952966369,2,0.05,2019-07-01,False
GOOG,2019-07-08,0.0,0.0,1,0.0,2019-07-08,False
GOOG,2019-07-09,-0.03333333333333333,0.05773502691896258,3,0.03333333333333333,2019-07-09,False
GOOG,2019-07-11,0.07117003367003367,0.21896920594135044,5,0.2880976430976431,2019-07-11,False
GOOG,2019-07-12,0.004166666666666667,0.005892556509887896,2,0.04583333333333334,2019-07-12,False
GOOG,2019-07-15,0.010416666666666666,0.01473139127471974,2,0.4166666666666667,2019-07-15,False
GOOG,2019-07-16,0.24395833333333333,0.30965384459460893,2,0.5083333333333333,2019-07-16,False
GOOG,2019-07-17,0.15486111111111112,0.2047963645329817,5,0.2677777777777778,2019-07-17,False
GOOG,2019-07-18,0.0,0.0,2,0.0,2019-07-18,False
GOOG,2019-07-19,0.08055555555555556,0.13952631505415958,3,0.34722222222222215,2019-07-19,False
GOOG,2019-07-22,0.0,0.0,1,0.0,2019-07-21,True
GOOG,2019-07-22,-0.03333333333333333,0.02886751345948129,3,0.6333333333333333,2019-07-22,False
GOOG,2019-07-23,0.06828703703703703,0.15897823908986797,3,0.45324074074074067,2019-07-23,False
GOOG,2019-07-24,-0.1875,0.2651650429449553,2,0.3125,2019-07-24,False
GOOG,2019-07-25,0.006666666666666667,0.07761320457119086,15,0.17666666666666667,2019-07-25,False
GOOG,2019-07-26,0.07166666666666667,0.14419315748906628,15,0.15833333333333333,2019-07-26,False
GOOG,2019-07-29,0.0,0.0,3,0.3333333333333333,2019-07-27,True
GOOG,2019-07-29,0.359375,0.1988737822087165,2,0.484375,2019-07-28,True
GOOG,2019-07-29,0.02784090909090909,0.07330206101304608,4,0.13863636363636364,2019-07-29,False
GOOG,2019-07-30,0.13333333333333333,0.32659863237109044,6,0.15,2019-07-30,False
GOOG,2019-07-31,0.0875,0.175,4,0.1375,2019-07-31,False
GOOG,2019-08-01,0.1,0.14142135623730953,2,0.1,2019-08-01,False
GOOG,2019-08-02,0.25,0.3535533905932738,2,0.25,2019-08-02,False
GOOG,2019-08-05,0.075,0.0,1,0.025,2019-08-05,False
GOOG,2019-08-06,0.041666666666666664,0.19094065395649334,3,0.225,2019-08-06,False
GOOG,2019-08-07,0.11666666666666665,0.20207259421636903,3,0.18333333333333335,2019-08-07,False
GOOG,2019-08-08,0.06919191919191918,0.06331689893581233,3,0.1898989898989899,2019-08-08,False
GOOG,2019-08-09,-0.13333333333333333,0.32145502536643183,3,0.3,2019-08-09,False
GOOG,2019-08-12,-0.25,0.0,1,0.3,2019-08-11,True
GOOG,2019-08-13,0.016517857142857143,0.07043015005958006,4,0.19821428571428573,2019-08-13,False
GOOG,2019-08-14,0.13636363636363635,0.0,1,0.45454545454545453,2019-08-14,False
GOOG,2019-08-15,0.05,0.07071067811865477,2,0.07500000000000001,2019-08-15,False
GOOG,2019-08-16,0.03125,0.04419417382415922,2,0.175,2019-08-16,False
GOOG,2019-08-19,-0.005370370370370364,0.1088374626609039,5,0.17092592592592593,2019-08-19,False
GOOG,2019-08-21,0.0,0.0,1,0.0,2019-08-21,False
GOOG,2019-08-22,0.2125,0.25289984842489194,4,0.36250000000000004,2019-08-22,False
GOOG,2019-08-23,0.13333333333333333,0.047140452079103175,2,0.26666666666666666,2019-08-23,False
GOOG,2019-08-26,0.08169642857142857,0.10308150752621709,4,0.4732142857142857,2019-08-26,False
GOOG,2019-08-27,-0.2,0.28284271247461906,2,0.275,2019-08-27,False
GOOG,2019-08-28,0.056818181818181816,0.11363636363636363,4,0.13636363636363635,2019-08-28,False
GOOG,2019-08-30,0.0234375,0.046875,4,0.1484375,2019-08-30,False
GOOG,2019-09-03,0.29659090909090907,0.2876638950736182,2,0.48863636363636365,2019-09-03,False
GOOG,2019-09-04,0.022727272727272724,0.05567022142689041,6,0.16742424242424245,2019-09-04,False
GOOG,2019-09-05,0.021875,0.04375,4,0.175,2019-09-05,False
GOOG,2019-09-06,0.005397727272727273,0.03282132724071034,8,0.10965909090909091,2019-09-06,False
GOOG,2019-09-09,0.08214285714285714,0.21828607267484912,7,0.35000000000000003,2019-09-09,False
GOOG,2019-09-12,0.1076388888888889,0.15348761863444904,6,0.23958333333333334,2019-09-12,False
GOOG,2019-09-13,0.0,0.0,1,0.0,2019-09-13,False
GOOG,2019-09-16,0.0,0.0,1,0.0,2019-09-15,True
GOOG,2019-09-16,0.0,0.0,1,0.5,2019-09-16,False
GOOG,2019-09-19,0.0,0.0,2,0.0,2019-09-19,False
GOOG,2019-09-20,0.0,0.0,1,0.0,2019-09-20,False
GOOG,2019-09-23,0.029999999999999992,0.1987460691435179,5,0.21000000000000002,2019-09-23,False
GOOG,2019-09-24,0.16666666666666666,0.15275252316519466,3,0.13333333333333333,2019-09-24,False
GOOG,2019-09-25,0.1,0.14142135623730953,2,0.1,2019-09-25,False
